[2022-11-16 08:24:58,261][vispy][WARNING] - XKeyboard extension not present on the X server
[2022-11-16 08:25:01,001][vispy][WARNING] - QXcbConnection: XCB error: 2 (BadValue), sequence: 193, resource id: 32, major code: 53 (CreatePixmap), minor code: 0
[2022-11-16 08:25:01,001][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 194, resource id: 83886085, major code: 55 (CreateGC), minor code: 0
[2022-11-16 08:25:01,001][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 195, resource id: 83886085, major code: 55 (CreateGC), minor code: 0
[2022-11-16 08:27:24,462][vispy][WARNING] - QXcbConnection: XCB error: 2 (BadValue), sequence: 574, resource id: 32, major code: 53 (CreatePixmap), minor code: 0
[2022-11-16 08:27:24,462][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 575, resource id: 83886125, major code: 55 (CreateGC), minor code: 0
[2022-11-16 08:27:24,462][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 576, resource id: 83886125, major code: 55 (CreateGC), minor code: 0
[2022-11-16 08:28:44,566][OpenGL.acceleratesupport][INFO] - No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'
[2022-11-16 08:30:16,797][vispy][WARNING] - QXcbConnection: XCB error: 13 (BadGC), sequence: 1908, resource id: 83886126, major code: 60 (FreeGC), minor code: 0
[2022-11-16 08:30:16,797][vispy][WARNING] - QXcbConnection: XCB error: 13 (BadGC), sequence: 1909, resource id: 83886127, major code: 60 (FreeGC), minor code: 0
[2022-11-16 08:30:16,798][vispy][WARNING] - QXcbConnection: XCB error: 4 (BadPixmap), sequence: 1910, resource id: 83886125, major code: 54 (FreePixmap), minor code: 0
