[2022-10-31 19:18:52,660][vispy][WARNING] - XKeyboard extension not present on the X server
[2022-10-31 19:18:53,453][vispy][WARNING] - QXcbConnection: XCB error: 2 (BadValue), sequence: 193, resource id: 32, major code: 53 (CreatePixmap), minor code: 0
[2022-10-31 19:18:53,453][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 194, resource id: 88080389, major code: 55 (CreateGC), minor code: 0
[2022-10-31 19:18:53,453][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 195, resource id: 88080389, major code: 55 (CreateGC), minor code: 0
[2022-10-31 19:18:57,077][vispy][WARNING] - QXcbConnection: XCB error: 2 (BadValue), sequence: 462, resource id: 32, major code: 53 (CreatePixmap), minor code: 0
[2022-10-31 19:18:57,077][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 463, resource id: 88080421, major code: 55 (CreateGC), minor code: 0
[2022-10-31 19:18:57,077][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 464, resource id: 88080421, major code: 55 (CreateGC), minor code: 0
[2022-10-31 19:19:36,452][vispy][WARNING] - QXcbConnection: XCB error: 13 (BadGC), sequence: 869, resource id: 88080422, major code: 60 (FreeGC), minor code: 0
[2022-10-31 19:19:36,453][vispy][WARNING] - QXcbConnection: XCB error: 13 (BadGC), sequence: 870, resource id: 88080423, major code: 60 (FreeGC), minor code: 0
[2022-10-31 19:19:36,453][vispy][WARNING] - QXcbConnection: XCB error: 4 (BadPixmap), sequence: 871, resource id: 88080421, major code: 54 (FreePixmap), minor code: 0
