[2022-11-09 17:52:04,809][vispy][WARNING] - XKeyboard extension not present on the X server
[2022-11-09 17:52:05,636][vispy][WARNING] - QXcbConnection: XCB error: 2 (BadValue), sequence: 193, resource id: 32, major code: 53 (CreatePixmap), minor code: 0
[2022-11-09 17:52:05,636][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 194, resource id: 79691781, major code: 55 (CreateGC), minor code: 0
[2022-11-09 17:52:05,636][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 195, resource id: 79691781, major code: 55 (CreateGC), minor code: 0
[2022-11-09 17:52:10,787][vispy][WARNING] - QXcbConnection: XCB error: 2 (BadValue), sequence: 482, resource id: 32, major code: 53 (CreatePixmap), minor code: 0
[2022-11-09 17:52:10,788][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 483, resource id: 79691813, major code: 55 (CreateGC), minor code: 0
[2022-11-09 17:52:10,788][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 484, resource id: 79691813, major code: 55 (CreateGC), minor code: 0
[2022-11-09 17:52:38,131][OpenGL.acceleratesupport][INFO] - No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'
[2022-11-09 17:53:48,200][vispy][WARNING] - QXcbConnection: XCB error: 13 (BadGC), sequence: 1998, resource id: 79691814, major code: 60 (FreeGC), minor code: 0
[2022-11-09 17:53:48,201][vispy][WARNING] - QXcbConnection: XCB error: 13 (BadGC), sequence: 1999, resource id: 79691815, major code: 60 (FreeGC), minor code: 0
[2022-11-09 17:53:48,201][vispy][WARNING] - QXcbConnection: XCB error: 4 (BadPixmap), sequence: 2000, resource id: 79691813, major code: 54 (FreePixmap), minor code: 0
