[2022-11-02 12:56:29,518][vispy][WARNING] - XKeyboard extension not present on the X server
[2022-11-02 12:56:30,330][vispy][WARNING] - QXcbConnection: XCB error: 2 (BadValue), sequence: 193, resource id: 32, major code: 53 (CreatePixmap), minor code: 0
[2022-11-02 12:56:30,330][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 194, resource id: 88080389, major code: 55 (CreateGC), minor code: 0
[2022-11-02 12:56:30,330][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 195, resource id: 88080389, major code: 55 (CreateGC), minor code: 0
[2022-11-02 12:56:43,967][vispy][WARNING] - QXcbConnection: XCB error: 2 (BadValue), sequence: 459, resource id: 32, major code: 53 (CreatePixmap), minor code: 0
[2022-11-02 12:56:43,967][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 460, resource id: 88080421, major code: 55 (CreateGC), minor code: 0
[2022-11-02 12:56:43,967][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 461, resource id: 88080421, major code: 55 (CreateGC), minor code: 0
[2022-11-02 13:00:36,087][OpenGL.acceleratesupport][INFO] - No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'
[2022-11-03 14:04:48,208][vispy][WARNING] - QXcbConnection: XCB error: 13 (BadGC), sequence: 6419, resource id: 88080422, major code: 60 (FreeGC), minor code: 0
[2022-11-03 14:04:48,209][vispy][WARNING] - QXcbConnection: XCB error: 13 (BadGC), sequence: 6420, resource id: 88080423, major code: 60 (FreeGC), minor code: 0
[2022-11-03 14:04:48,209][vispy][WARNING] - QXcbConnection: XCB error: 4 (BadPixmap), sequence: 6421, resource id: 88080421, major code: 54 (FreePixmap), minor code: 0
