[2022-10-31 19:23:42,216][vispy][WARNING] - XKeyboard extension not present on the X server
[2022-10-31 19:23:43,054][vispy][WARNING] - QXcbConnection: XCB error: 2 (BadValue), sequence: 193, resource id: 32, major code: 53 (CreatePixmap), minor code: 0
[2022-10-31 19:23:43,055][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 194, resource id: 88080389, major code: 55 (CreateGC), minor code: 0
[2022-10-31 19:23:43,055][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 195, resource id: 88080389, major code: 55 (CreateGC), minor code: 0
[2022-10-31 19:24:13,654][vispy][WARNING] - QXcbConnection: XCB error: 2 (BadValue), sequence: 439, resource id: 32, major code: 53 (CreatePixmap), minor code: 0
[2022-10-31 19:24:13,654][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 440, resource id: 88080417, major code: 55 (CreateGC), minor code: 0
[2022-10-31 19:24:13,654][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 441, resource id: 88080417, major code: 55 (CreateGC), minor code: 0
[2022-10-31 19:24:53,202][OpenGL.acceleratesupport][INFO] - No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'
[2022-10-31 19:43:15,413][vispy][WARNING] - QXcbConnection: XCB error: 13 (BadGC), sequence: 6996, resource id: 88080418, major code: 60 (FreeGC), minor code: 0
[2022-10-31 19:43:15,413][vispy][WARNING] - QXcbConnection: XCB error: 13 (BadGC), sequence: 6997, resource id: 88080419, major code: 60 (FreeGC), minor code: 0
[2022-10-31 19:43:15,414][vispy][WARNING] - QXcbConnection: XCB error: 4 (BadPixmap), sequence: 6998, resource id: 88080417, major code: 54 (FreePixmap), minor code: 0
