[2022-11-09 17:44:37,083][vispy][WARNING] - XKeyboard extension not present on the X server
[2022-11-09 17:44:38,396][vispy][WARNING] - QXcbConnection: XCB error: 2 (BadValue), sequence: 193, resource id: 32, major code: 53 (CreatePixmap), minor code: 0
[2022-11-09 17:44:38,396][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 194, resource id: 79691781, major code: 55 (CreateGC), minor code: 0
[2022-11-09 17:44:38,396][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 195, resource id: 79691781, major code: 55 (CreateGC), minor code: 0
[2022-11-09 17:44:43,079][vispy][WARNING] - QXcbConnection: XCB error: 2 (BadValue), sequence: 474, resource id: 32, major code: 53 (CreatePixmap), minor code: 0
[2022-11-09 17:44:43,080][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 475, resource id: 79691813, major code: 55 (CreateGC), minor code: 0
[2022-11-09 17:44:43,080][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 476, resource id: 79691813, major code: 55 (CreateGC), minor code: 0
[2022-11-09 17:45:17,502][OpenGL.acceleratesupport][INFO] - No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'
[2022-11-09 17:47:33,141][vispy][WARNING] - QXcbConnection: XCB error: 13 (BadGC), sequence: 4000, resource id: 79691814, major code: 60 (FreeGC), minor code: 0
[2022-11-09 17:47:33,141][vispy][WARNING] - QXcbConnection: XCB error: 13 (BadGC), sequence: 4001, resource id: 79691815, major code: 60 (FreeGC), minor code: 0
[2022-11-09 17:47:33,141][vispy][WARNING] - QXcbConnection: XCB error: 4 (BadPixmap), sequence: 4002, resource id: 79691813, major code: 54 (FreePixmap), minor code: 0
