[2022-11-09 17:54:10,594][vispy][WARNING] - XKeyboard extension not present on the X server
[2022-11-09 17:54:11,629][vispy][WARNING] - QXcbConnection: XCB error: 2 (BadValue), sequence: 193, resource id: 32, major code: 53 (CreatePixmap), minor code: 0
[2022-11-09 17:54:11,630][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 194, resource id: 79691781, major code: 55 (CreateGC), minor code: 0
[2022-11-09 17:54:11,630][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 195, resource id: 79691781, major code: 55 (CreateGC), minor code: 0
[2022-11-09 17:54:15,463][vispy][WARNING] - QXcbConnection: XCB error: 2 (BadValue), sequence: 488, resource id: 32, major code: 53 (CreatePixmap), minor code: 0
[2022-11-09 17:54:15,463][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 489, resource id: 79691813, major code: 55 (CreateGC), minor code: 0
[2022-11-09 17:54:15,463][vispy][WARNING] - QXcbConnection: XCB error: 9 (BadDrawable), sequence: 490, resource id: 79691813, major code: 55 (CreateGC), minor code: 0
[2022-11-09 17:57:30,751][OpenGL.acceleratesupport][INFO] - No OpenGL_accelerate module loaded: No module named 'OpenGL_accelerate'
[2022-11-09 17:57:55,881][vispy][WARNING] - QXcbConnection: XCB error: 13 (BadGC), sequence: 1605, resource id: 79691814, major code: 60 (FreeGC), minor code: 0
[2022-11-09 17:57:55,882][vispy][WARNING] - QXcbConnection: XCB error: 13 (BadGC), sequence: 1606, resource id: 79691815, major code: 60 (FreeGC), minor code: 0
[2022-11-09 17:57:55,882][vispy][WARNING] - QXcbConnection: XCB error: 4 (BadPixmap), sequence: 1607, resource id: 79691813, major code: 54 (FreePixmap), minor code: 0
